Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
DG 16:0_16:1,-0.9293762256857896,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,7.8428959342294196,2.880943261946059,0.00498,2.3027706572402824,Decreased,DG
DG 18:1_18:1,-0.5383411098606985,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.7479023955762262,2.2004982776475086,0.526,0.27901425584626094,p>0.051,NA
FA 16:0,0.09077063099032685,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.28134249036692294,3.2069898753486927,0.796,0.09908693226233094,p>0.051,NA
FA 16:1,-0.02785454134145911,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.08856888729726342,3.906606809821861,0.934,0.029653123769906618,p>0.051,NA
FA 17:1,0.160833951271077,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.979984869739824,2.372566036348887,0.416,0.3809066693732573,p>0.051,NA
FA 18:0,0.05320532935972509,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.16284445013491658,3.2349508310280686,0.88,0.05551732784983137,p>0.051,NA
FAHFA 16:0_18:2,0.09023830473427512,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.19693362912308804,3.056818258102676,0.856,0.06752623532284678,p>0.051,NA
HBMP 46:2,-0.08766930405213515,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.6878557039462585,2.7738104651733337,0.545,0.2636034977233575,p>0.051,NA
HBMP 48:2,-0.06721596897022176,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.5500638091656973,2.0697521661380147,0.257,0.5900668766687055,p>0.051,NA
HBMP 48:3,0.014848838102081907,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.4936466835726019,2.3861019711197744,0.663,0.17848647159522685,p>0.051,NA
HBMP 50:3,-0.1457767101058605,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.1899327683758112,3.9909758421708537,0.3,0.5228787452803376,p>0.051,NA
HBMP 52:3,-0.23928106301103574,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,5.733660434689794,2.4479011181014068,0.0179,1.747146969020107,Decreased,HBMP
LPC 15:0/0:0,0.22081956440978723,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.474240586506226,3.594862215688143,0.222,0.6536470255493614,p>0.051,NA
LPE 16:1,0.09675254409381943,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.1853207334150864,2.4360089843340034,0.867,0.06198090252378971,p>0.051,NA
PA 17:0_17:1,-0.3746588863958503,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.7276619068349287,2.4770231647922847,0.529,0.2765443279648142,p>0.051,NA
PA 17:0_19:1,-1.1470019332002472,signal,0.28 OsM,1.1 OsM + 1mM GB,3,2,7.697126927022518,2.998228421700234,0.00457,2.3400837999301496,Decreased,PA
PA 18:1_19:1,-0.42665639588633275,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.0425428921738962,2.5755366107296607,0.385,0.4145392704914993,p>0.051,NA
PC 34:5,0.16194379825140345,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-3.040987380010538,2.2367963935819657,0.0812,1.0904439707588247,p>0.051,NA
PE 12:0_14:0,-0.05344024951438936,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.4612523022287609,2.4219386143075576,0.683,0.1655792963184674,p>0.051,NA
PE 12:0_16:1,-0.4381665175081611,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,5.892465904244859,2.8629788436269914,0.0111,1.9546770212133426,Decreased,PE
PE 12:0_17:1,-0.5340674496650462,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,4.044667154549835,3.6400950412601603,0.0187,1.728158393463501,Decreased,PE
PE 14:0_14:0,-0.14886494334792347,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.9476022600784655,3.6281598714922283,0.131,0.8827287043442357,p>0.051,NA
PE 14:0_15:0,-1.221215635348831,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,3.3260320536993726,2.045728178755743,0.0773,1.111820506081675,p>0.051,NA
PE 14:0_16:0,-0.7540773770581211,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,2.8276280758578296,2.138328664535905,0.098,1.0087739243075051,p>0.051,NA
PE 14:0_16:1,0.3466456215392846,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-4.1996059786186875,2.99628568809249,0.0247,1.6073030467403342,Increased,PE
PE 14:0_17:1,0.2503426602663672,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-2.332302573076523,3.906665532489577,0.0816,1.0883098412461387,p>0.051,NA
PE 14:1_16:1,-0.12436323246114109,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.6431654742709256,2.051590343842323,0.239,0.6216020990518624,p>0.051,NA
PE 15:0_16:0,-1.440018940275795,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,4.2735292023989135,2.039341788885918,0.0489,1.3106911408763797,Decreased,PE
PE 15:0_16:0_2,-1.3419681527400487,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,10.447392394977339,2.1103347060139863,0.0075,2.1249387366083,Decreased,PE
PE 15:0_16:1,-0.7600266886011147,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,5.892974713968202,2.152393372226912,0.0232,1.6345120151091004,Decreased,PE
PE 16:0_16:0,-0.35315604810029666,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.6077529561233297,2.139068924893154,0.241,0.6179829574251317,p>0.051,NA
PE 16:0_16:1,-0.050099527107102755,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.2630981306258284,2.0431718123638736,0.817,0.08777794346758454,p>0.051,NA
PE 16:0_17:0,-1.498755541463084,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,11.49589591509026,2.3131639586247195,0.00432,2.364516253185088,Decreased,PE
PE 16:0_17:0_2,-0.8000650231243989,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,4.967230173829367,3.883709851957214,0.00827,2.0824944904474534,Decreased,PE
PE 16:0_17:1,0.006581352455454132,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.03213926924897352,2.0480015487697223,0.977,0.010105436281226938,p>0.051,NA
