Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
PE 15:0_16:1,-2.457451240198104,signal,0.28 OsM,1.02 OsM,3,3,27.943669233836268,3.993012984949512,9.91e-6,5.003926345514724,Decreased,PE
PE 16:0_16:0,0.31112378869089796,signal,0.28 OsM,1.02 OsM,3,3,-3.6222836018196016,3.828201410723538,0.024,1.6197887582883939,Increased,PE
PE 16:0_16:1,-1.498934968378502,signal,0.28 OsM,1.02 OsM,3,3,14.747628422773099,3.111293091882971,5.55e-4,3.2557070168773237,Decreased,PE
PE 16:0_17:0,-0.4580484526044222,signal,0.28 OsM,1.02 OsM,3,3,5.562912971494725,3.928744223283592,0.00539,2.2684112348132612,Decreased,PE
PE 16:0_17:0_2,-0.20157804329155068,signal,0.28 OsM,1.02 OsM,3,3,1.228800983134014,2.5795017233953486,0.319,0.4962093169428189,p>0.051,NA
PE 16:0_17:1,1.1665922497312904,signal,0.28 OsM,1.02 OsM,3,3,-13.854283562151219,3.5067081743652597,3.47e-4,3.4596705252091264,Increased,PE
PE 16:0_18:0,0.19926256013804142,signal,0.28 OsM,1.02 OsM,3,3,-1.348166148682506,3.948338325752686,0.25,0.6020599913279624,p>0.051,NA
PE 16:0_18:1,-1.6010244123595647,signal,0.28 OsM,1.02 OsM,3,3,14.739529011910149,2.1891981920195,0.00312,2.505845405981557,Decreased,PE
PE 16:0_19:1,1.3230984817006017,signal,0.28 OsM,1.02 OsM,3,3,-23.091209779671793,3.7961158045250465,3.18e-5,4.497572880015567,Increased,PE
PE 16:1_16:1,-2.264084425105426,signal,0.28 OsM,1.02 OsM,3,3,13.112614316382045,2.018608096168215,0.00556,2.2549252084179425,Decreased,PE
PE 16:1_16:1_2,-0.19322520157607315,signal,0.28 OsM,1.02 OsM,3,3,0.8448854520377459,3.293905544441592,0.455,0.34198860334288755,p>0.051,NA
PE 16:1_17:1,-0.2722879716256547,signal,0.28 OsM,1.02 OsM,3,3,3.4237513031763043,3.9808127678917185,0.0269,1.570247719997592,Decreased,PE
